Necesito =I need,reservar una habitaciÃƒÆ’Ã‚Â³n =to book a room,correre =to run
,reservar =to reserve,
,aprender =to learn,
Quiero =I want,comer =to eat,
No quiero =I don't want,pedir =to order,esto =this
Voy a =I'm going to,abrir =to open,algo =something
No voy a =I'm not going to,ver =to see,mucho =a lot
Decidí =I decided,usar =to use,
,entender =to understand,
,traer =to bring,
,encontrar =to find,
