,pasar tiempo (to spend time),
,bailar (to dance),
Puedo ( I can),salir (to go out),
No puedo ( I can't),esperar (to wait),contigo (with you)
Tengo que ( I have to),cantar (to sing),con él (with him)
Voy a (I'm going to),escuchar música (to listen to music),con ella (with her)
Quiero (I want),estudiar (to study),
No quiero (I don't want),seguir la ruta (to follow the route),
,correr (to run),
,aprender español (to learn Spanish),
