Quando fa caldo (When it's hot),,andare a cavallo (to go horse-riding)
Quando fa freddo (When it's cold),ascoltare la musica (to listen to music),correre (to run)
Quando c'è il sole (When it's sunny),adoro (I adore),cucinare (to cook)
Quando piove (When it rains),mi piace molto (I really like),dipingere (to paint)
In inverno (In winter),mi piace (I like),disegnare (to draw)
In estate (In summer),preferisco (I prefer),dormire (to sleep)
In autunno (In autumn),,fare delle torte (to bake)
A primavera (In spring),,fare pugilato (to box)
,,giocare a tennis (to play tennis)
