,ir al baño (to go to the bathroom),,,tengo que ( I have to),ir al baño (to go to the bathroom)
No puedo (I can't),ir al cine (to go to the cinema),contigo (with you),,voy a (I'm going),ir al cine (to go to the cinema)
Voy a (I'm going to),ir al supermercado (to go to the supermarket),con Miguel (with Miguel),porque (because),quiero (I want),ir al supermercado (to go to the supermarket)
No voy a (I'm not going to),jugar al tenis (to play tennis),mañana (tomorrow),,me gustaría (I'd like),jugar al tenis (to play tennis)
,hacer algo (to do something),al final (in the end),,,hacer algo importante (to do something important)
,hacer algo importante (to do something important),,,,mirar algo (to look at something)
