¿Te gusta (Do you like),ir a museos (to go to museums),
Me gusta (I like),salir (to go out),por la tarde ( in the afternoon)
No me gusta (I don't like),trabajar (to work),con ellos (with them)
Me encanta ( I love),hablar (to speak),con Pablo (with Pablo)
Queremos (We want),practicar (to practise),
No queremos (We don't want),hacerlo (to do it),
