,comprar (to buy),
,hacer (to do/make),
,decir (to say),
Quiero (I want),ver (to see),eso (that)
Tengo que ( I have to),pedir (to order),algo (something)
Voy a (I'm going to),compartir (to share),mucho más (a lot more)
,leer (to read),
,usar (to use),
,escribir (to write),
,subir (to upload),
