,,ir a la fiesta (to go to the party)
,quiero (I want),ir en tren (to go by train)
No sé si (I don't know if),puedo (I can),gastar tanto (to spend that much)
,voy a (I'm going to),salir aún (to go out yet)
,debería (I should),quedar con Pablo (to meet up with Pablo)
,,sentirme así (to feel like this)
